	Study	Subgroup within study	Comparison	Outcome (specific)	Time point	Correlation	Std Err	Fisher's Z	Std Err	Outcome Group	outcome type	study design	media type	Ferguson	Citation
189	"Fraser, A. M., Padilla-Walker, L. M., Coyne, S. M., Nelson, L. J., & Stockdale, L. A. (2012)."	male	Blank	prosocial behaviour toward friends	Blank	0.01	6.45E-02	1.00E-02	6.45E-02	behavior	prosocial/positive	experimental	antisocial	3	"Fraser, A. M., Padilla-Walker, L. M., Coyne, S. M., Nelson, L. J., & Stockdale, L. A. (2012). Associations between violent video gaming, empathic concern, and prosocial behavior toward strangers, friends, and family members. Journal Of Youth And Adolescence, 41(5), 636-649.                                                                                                                                                                                                                                                                                                                                      "
190	"Fraser, A. M., Padilla-Walker, L. M., Coyne, S. M., Nelson, L. J., & Stockdale, L. A. (2012)."	male	Blank	prosocial behaviour toward strangers	Blank	2.00E-02	6.45E-02	2.00E-02	6.45E-02	behavior	prosocial/positive	experimental	antisocial	3	"Fraser, A. M., Padilla-Walker, L. M., Coyne, S. M., Nelson, L. J., & Stockdale, L. A. (2012). Associations between violent video gaming, empathic concern, and prosocial behavior toward strangers, friends, and family members. Journal Of Youth And Adolescence, 41(5), 636-649.                                                                                                                                                                                                                                                                                                                                      "
191	"Fischer, P., Kastenmüller, A., & Greitemeyer, T. (2010)."	Blank	AS vs Neutral/Control	aggressive behavior	Blank	0.301970106	0.102520618	0.311685967	0.112807034	behavior	antisocial/negative	experimental	antisocial	3	"Fischer, P., Kastenmüller, A., & Greitemeyer, T. (2010). Media violence and the self: The impact of personalized gaming characters in aggressive video games on aggressive behavior. Journal of Experimental Social Psychology, 46(1), 192-195. doi: 10.1016/j.jesp.2009.06.010"
192	"Fischer, J., Aydin, N., Kastenmüller, A., Frey, D., & Fischer, P. (2012). S2"	Blank	AS vs Neutral/Control	feeling bad for egoistic behavior	Blank	-0.198845685	0.179706789	-0.201530431	0.18710484	affect	antisocial/negative	experimental	antisocial	3	"Fischer, J., Aydin, N., Kastenmüller, A., Frey, D., & Fischer, P. (2012). The delinquent media effect: Delinquency-reinforcing video games increase players attitudinal and behavioral inclination toward delinquent behavior. Psychology Of Popular Media Culture, 1(3), 201-205. doi:10.1037/a0028114"
193	"Fischer, J., Aydin, N., Kastenmüller, A., Frey, D., & Fischer, P. (2012). S2"	Blank	AS vs Neutral/Control	stealing	Blank	0.388219378	0.169857143	0.409701713	0.2	behavior	antisocial/negative	experimental	antisocial	3	"Fischer, J., Aydin, N., Kastenmüller, A., Frey, D., & Fischer, P. (2012). The delinquent media effect: Delinquency-reinforcing video games increase players attitudinal and behavioral inclination toward delinquent behavior. Psychology Of Popular Media Culture, 1(3), 201-205. doi:10.1037/a0028114"
194	"Fischer, J., Aydin, N., Kastenmüller, A., Frey, D., & Fischer, P. (2012). S1"	Blank	AS vs Neutral/Control	aggressive emotions	Blank	0.282736809	1.80E-01	0.290654181	0.195962236	affect	antisocial/negative	experimental	antisocial	3	"Fischer, J., Aydin, N., Kastenmüller, A., Frey, D., & Fischer, P. (2012). The delinquent media effect: Delinquency-reinforcing video games increase players attitudinal and behavioral inclination toward delinquent behavior. Psychology Of Popular Media Culture, 1(3), 201-205. doi:10.1037/a0028114"
195	"Fischer, J., Aydin, N., Kastenmüller, A., Frey, D., & Fischer, P. (2012). S1"	Blank	AS vs Neutral/Control	tolerance for punishment	Blank	0.434818236	0.15433031	0.465823035	0.190312012	behavior	antisocial/negative	experimental	antisocial	3	"Fischer, J., Aydin, N., Kastenmüller, A., Frey, D., & Fischer, P. (2012). The delinquent media effect: Delinquency-reinforcing video games increase players attitudinal and behavioral inclination toward delinquent behavior. Psychology Of Popular Media Culture, 1(3), 201-205. doi:10.1037/a0028114"
196	"Ferguson, C. J., San Miguel, C., Garza, A., & Jerabeck, J. M. (2012)."	Blank	Blank	reduced dating violence	Blank	-0.22	7.48E-02	-0.223656109	7.86E-02	behavior	antisocial/negative	longitudinal	antisocial	1	"Ferguson, C. J., San Miguel, C., Garza, A., & Jerabeck, J. M. (2012). A longitudinal test of video game violence influences on dating and aggression: A 3-year longitudinal study of adolescents. Journal Of Psychiatric Research, 46(2), 141-146.                                                                                                                                                                                                                                                                                                                                                                      "
197	"Ferguson, C. J., San Miguel, C., Garza, A., & Jerabeck, J. M. (2012)."	Blank	Blank	violent: dating violence                                                                                                                                                                                	Blank	-0.247	7.38E-02	-0.252215359	7.86E-02	behavior	antisocial/negative	longitudinal	antisocial	1	"Ferguson, C. J., San Miguel, C., Garza, A., & Jerabeck, J. M. (2012). A longitudinal test of video game violence influences on dating and aggression: A 3-year longitudinal study of adolescents. Journal Of Psychiatric Research, 46(2), 141-146.                                                                                                                                                                                                                                                                                                                                                                      "
198	"Ferguson, C. J., & Rueda, S. M. (2010)."	Blank	AS vs Neutral/Control	Aggressive behaviour c1	Blank	3.52E-02	0.139811738	3.52E-02	0.139984738	behavior	antisocial/negative	experimental	antisocial	1	"Ferguson, C. J., & Rueda, S. M. (2010). The Hitman study: Violent video game exposure effects on aggressive behavior, hostile feelings, and depression. European Psychologist, 15(2), 99-108.                                                                                                                                                                                                                                                                                                                                                                                                                           "
199	"Ferguson, C. J., & Rueda, S. M. (2010)."	Blank	AS vs Neutral/Control	Aggressive behaviour c2	Blank	-0.115880051	0.136352834	-0.116402957	0.138208726	behavior	antisocial/negative	experimental	antisocial	1	"Ferguson, C. J., & Rueda, S. M. (2010). The Hitman study: Violent video game exposure effects on aggressive behavior, hostile feelings, and depression. European Psychologist, 15(2), 99-108.                                                                                                                                                                                                                                                                                                                                                                                                                           "
200	"Ferguson, C. J., & Rueda, S. M. (2010)."	Blank	AS vs Neutral/Control	Aggressive behaviour c3	Blank	3.18E-02	0.139850626	3.18E-02	0.139992521	behavior	antisocial/negative	experimental	antisocial	1	"Ferguson, C. J., & Rueda, S. M. (2010). The Hitman study: Violent video game exposure effects on aggressive behavior, hostile feelings, and depression. European Psychologist, 15(2), 99-108.                                                                                                                                                                                                                                                                                                                                                                                                                           "
201	"Ferguson, C. J., & Rueda, S. M. (2010)."	Blank	AS vs Neutral/Control	Aggressive behaviour c4	Blank	-0.115654632	0.136361839	-0.116174475	0.138210542	behavior	antisocial/negative	experimental	antisocial	1	"Ferguson, C. J., & Rueda, S. M. (2010). The Hitman study: Violent video game exposure effects on aggressive behavior, hostile feelings, and depression. European Psychologist, 15(2), 99-108.                                                                                                                                                                                                                                                                                                                                                                                                                           "
202	"Ferguson, C. J., & Rueda, S. M. (2010)."	Blank	Blank	hostility post	Blank	0.21	0.09559	0.213171347	0.1	affect	antisocial/negative	correlational	antisocial	1	"Ferguson, C. J., & Rueda, S. M. (2010). The Hitman study: Violent video game exposure effects on aggressive behavior, hostile feelings, and depression. European Psychologist, 15(2), 99-108.                                                                                                                                                                                                                                                                                                                                                                                                                           "
203	"Ferguson, C. J., & Rueda, S. M. (2010)."	Blank	Blank	hostility pre	Blank	0.1	0.099	0.100335348	0.1	affect	antisocial/negative	correlational	antisocial	1	"Ferguson, C. J., & Rueda, S. M. (2010). The Hitman study: Violent video game exposure effects on aggressive behavior, hostile feelings, and depression. European Psychologist, 15(2), 99-108.                                                                                                                                                                                                                                                                                                                                                                                                                           "
204	"Ferguson, C. J., & Rueda, S. M. (2010)."	Blank	Blank	trait aggression	Blank	0.27	0.09271	0.276863823	0.1	cognition	antisocial/negative	correlational	antisocial	1	"Ferguson, C. J., & Rueda, S. M. (2010). The Hitman study: Violent video game exposure effects on aggressive behavior, hostile feelings, and depression. European Psychologist, 15(2), 99-108.                                                                                                                                                                                                                                                                                                                                                                                                                           "
205	"Ferguson, C. J., & Olson, C. K. (2013)."	Blank	Blank	Bullying bzw. Delinquency	Blank	0.0175	5.17E-02	1.75E-02	5.17E-02	behavior	antisocial/negative	correlational	antisocial	1	"Ferguson, C. J., & Olson, C. K. (2013). Video Game Violence Use Among ""Vulnerable"" Populations: The Impact of Violent Games on Delinquency and Bullying Among Children with Clinically Elevated Depression or Attention Deficit Symptoms. Journal Of Youth And Adolescence. "
206	"Ferguson, C. J., & Garza, A. (2011)."	Blank	Blank	civic engagement	Blank	0.03	3.39E-02	3.00E-02	3.39E-02	behavior	prosocial/positive	correlational	antisocial	1	"Ferguson, C. J., & Garza, A. (2011). Call of (civic) duty: Action games and civic behavior in a large sample of youth. Computers In Human Behavior, 27(2), 770-775.                                                                                                                                                                                                                                                                                                                                                                                                                                                     "
207	"Ferguson, C. J., & Garza, A. (2011)."	Blank	Blank	prosocial online behaviour	Blank	0.08	3.37E-02	8.02E-02	3.39E-02	behavior	prosocial/positive	correlational	antisocial	1	"Ferguson, C. J., & Garza, A. (2011). Call of (civic) duty: Action games and civic behavior in a large sample of youth. Computers In Human Behavior, 27(2), 770-775.                                                                                                                                                                                                                                                                                                                                                                                                                                                     "
208	"Ferguson, C. J. (2011a)."	Blank	AS vs Neutral/Control	aggression (child report) T1	T1	1.20E-01	4.27E-02	1.21E-01	0.043314808	affect	antisocial/negative	longitudinal	antisocial	1	"Ferguson, C. J. (2011). Video games and youth violence: A prospective analysis in adolescents. Journal Of Youth And Adolescence, 40(4), 377-391.                                                                                                                                                                                                                                                                                                                                                                                                                                                                        "
209	"Ferguson, C. J. (2011a)."	Blank	AS vs Neutral/Control	aggression (child report) T2	T2	0.06	5.76E-02	6.01E-02	0.057831493	affect	antisocial/negative	longitudinal	antisocial	1	"Ferguson, C. J. (2011). Video games and youth violence: A prospective analysis in adolescents. Journal Of Youth And Adolescence, 40(4), 377-391.                                                                                                                                                                                                                                                                                                                                                                                                                                                                        "
210	"Ferguson, C. J. (2011a)."	Blank	AS vs Neutral/Control	aggression (parent report) T1	T1	6.00E-02	4.32E-02	6.01E-02	0.043314808	affect	antisocial/negative	longitudinal	antisocial	1	"Ferguson, C. J. (2011). Video games and youth violence: A prospective analysis in adolescents. Journal Of Youth And Adolescence, 40(4), 377-391.                                                                                                                                                                                                                                                                                                                                                                                                                                                                        "
211	"Ferguson, C. J. (2011a)."	Blank	AS vs Neutral/Control	aggression (parent report) T2	T2	0.01	5.78E-02	1.00E-02	0.057831493	affect	antisocial/negative	longitudinal	antisocial	1	"Ferguson, C. J. (2011). Video games and youth violence: A prospective analysis in adolescents. Journal Of Youth And Adolescence, 40(4), 377-391.                                                                                                                                                                                                                                                                                                                                                                                                                                                                        "
212	"Ferguson, C. J. (2011a)."	Blank	AS vs Neutral/Control	bullying other children T1	T1	0.18	4.19E-02	0.181982689	0.043314808	behavior	antisocial/negative	longitudinal	antisocial	1	"Ferguson, C. J. (2011). Video games and youth violence: A prospective analysis in adolescents. Journal Of Youth And Adolescence, 40(4), 377-391.                                                                                                                                                                                                                                                                                                                                                                                                                                                                        "
213	"Ferguson, C. J. (2011a)."	Blank	AS vs Neutral/Control	bullying other children T2	T2	1.80E-01	5.60E-02	1.82E-01	0.057831493	behavior	antisocial/negative	longitudinal	antisocial	1	"Ferguson, C. J. (2011). Video games and youth violence: A prospective analysis in adolescents. Journal Of Youth And Adolescence, 40(4), 377-391.                                                                                                                                                                                                                                                                                                                                                                                                                                                                        "
214	"Ferguson, C. J. (2011a)."	Blank	AS vs Neutral/Control	NLE non-violent crimes T1	T1	0.03	4.33E-02	3.00E-02	0.043314808	behavior	antisocial/negative	longitudinal	antisocial	1	"Ferguson, C. J. (2011). Video games and youth violence: A prospective analysis in adolescents. Journal Of Youth And Adolescence, 40(4), 377-391.                                                                                                                                                                                                                                                                                                                                                                                                                                                                        "
215	"Ferguson, C. J. (2011a)."	Blank	AS vs Neutral/Control	NLE non-violent crimes T2	T2	0.07	5.75E-02	7.01E-02	5.78E-02	behavior	antisocial/negative	longitudinal	antisocial	1	"Ferguson, C. J. (2011). Video games and youth violence: A prospective analysis in adolescents. Journal Of Youth And Adolescence, 40(4), 377-391.                                                                                                                                                                                                                                                                                                                                                                                                                                                                        "
216	"Ferguson, C. J. (2011a)."	Blank	AS vs Neutral/Control	NLE violent crimes T1	T1	0.06	4.32E-02	6.01E-02	0.043314808	behavior	antisocial/negative	longitudinal	antisocial	1	"Ferguson, C. J. (2011). Video games and youth violence: A prospective analysis in adolescents. Journal Of Youth And Adolescence, 40(4), 377-391.                                                                                                                                                                                                                                                                                                                                                                                                                                                                        "
217	"Ferguson, C. J. (2011a)."	Blank	AS vs Neutral/Control	NLE violent crimes T2	T2	0.09	5.74E-02	9.02E-02	0.057831493	behavior	antisocial/negative	longitudinal	antisocial	1	"Ferguson, C. J. (2011). Video games and youth violence: A prospective analysis in adolescents. Journal Of Youth And Adolescence, 40(4), 377-391.                                                                                                                                                                                                                                                                                                                                                                                                                                                                        "
218	"Ferguson, C. J. (2011a)."	Blank	AS vs Neutral/Control	rule breaking (child report) T1	T1	0.12	4.27E-02	0.120581028	0.043314808	behavior	antisocial/negative	longitudinal	antisocial	1	"Ferguson, C. J. (2011). Video games and youth violence: A prospective analysis in adolescents. Journal Of Youth And Adolescence, 40(4), 377-391.                                                                                                                                                                                                                                                                                                                                                                                                                                                                        "
219	"Ferguson, C. J. (2011a)."	Blank	AS vs Neutral/Control	rule breaking (child report) T2	T2	0.1	5.73E-02	0.100335348	0.057831493	behavior	antisocial/negative	longitudinal	antisocial	1	"Ferguson, C. J. (2011). Video games and youth violence: A prospective analysis in adolescents. Journal Of Youth And Adolescence, 40(4), 377-391.                                                                                                                                                                                                                                                                                                                                                                                                                                                                        "
220	"Ferguson, C. J. (2011a)."	Blank	AS vs Neutral/Control	rule breaking (parent report) T1	T1	0.05	4.32E-02	5.00E-02	0.043314808	behavior	antisocial/negative	longitudinal	antisocial	1	"Ferguson, C. J. (2011). Video games and youth violence: A prospective analysis in adolescents. Journal Of Youth And Adolescence, 40(4), 377-391.                                                                                                                                                                                                                                                                                                                                                                                                                                                                        "
221	"Ferguson, C. J. (2011a)."	Blank	AS vs Neutral/Control	rule breaking (parent report) T2	T2	0.05	5.77E-02	5.00E-02	0.057831493	behavior	antisocial/negative	longitudinal	antisocial	1	"Ferguson, C. J. (2011). Video games and youth violence: A prospective analysis in adolescents. Journal Of Youth And Adolescence, 40(4), 377-391.                                                                                                                                                                                                                                                                                                                                                                                                                                                                        "
222	"Ferguson, C. J.  et al. (2013)"	Blank	Blank	bullying	Blank	0.09	5.46E-02	9.02E-02	0.055048188	behavior	antisocial/negative	correlational	antisocial	1	"Ferguson, C. J., Garza, A., Jerabeck, J., Ramos, R., & Galindo, M. (2013). Not worth the fuss after all? Cross-sectional and prospective data on violent video game influences on aggression, visuospatial cognition and mathematics ability in a sample of youth. Journal Of Youth And Adolescence, 42(1), 109-122. doi:10.1007/s10964-012-9803-6"
223	"Ferguson, C. J.  et al. (2013)"	Blank	Blank	civic engagement	Blank	-0.11	5.44E-02	-0.110446916	0.055048188	behavior	prosocial/positive	correlational	antisocial	1	"Ferguson, C. J., Garza, A., Jerabeck, J., Ramos, R., & Galindo, M. (2013). Not worth the fuss after all? Cross-sectional and prospective data on violent video game influences on aggression, visuospatial cognition and mathematics ability in a sample of youth. Journal Of Youth And Adolescence, 42(1), 109-122. doi:10.1007/s10964-012-9803-6"
224	"Ferguson, C. J.  et al. (2013)"	Blank	Blank	trait aggression	Blank	-0.06	5.49E-02	-6.01E-02	5.50E-02	cognition	antisocial/negative	correlational	antisocial	1	"Ferguson, C. J., Garza, A., Jerabeck, J., Ramos, R., & Galindo, M. (2013). Not worth the fuss after all? Cross-sectional and prospective data on violent video game influences on aggression, visuospatial cognition and mathematics ability in a sample of youth. Journal Of Youth And Adolescence, 42(1), 109-122. doi:10.1007/s10964-012-9803-6"
225	"Ewoldsen, D. R. et al. (2011)"	cooperation-game	AS vs Neutral/Control	cooperation (tit-for-tat)	Blank	-0.191538071	1.24E-01	-0.19393333	1.29E-01	behavior	prosocial/positive	experimental	antisocial	3	"Ewoldsen, D. R., Eno, C. A., Okdie, B. M., Velez, J. A., Guadagno, R. E., & DeCoster, J. (2012). Effect of playing violent video games cooperatively or competitively on subsequent cooperative behavior. Cyberpsychology, Behavior, And Social Networking, 15(5), 277-280. doi:10.1089/cyber.2011.0308"
226	"Ewoldsen, D. R. et al. (2011)"	direct competition	AS vs Neutral/Control	cooperation (tit-for-tat)	Blank	0.147309569	1.27E-01	0.148389206	1.29E-01	behavior	prosocial/positive	experimental	antisocial	3	"Ewoldsen, D. R., Eno, C. A., Okdie, B. M., Velez, J. A., Guadagno, R. E., & DeCoster, J. (2012). Effect of playing violent video games cooperatively or competitively on subsequent cooperative behavior. Cyberpsychology, Behavior, And Social Networking, 15(5), 277-280. doi:10.1089/cyber.2011.0308"
227	"Ewoldsen, D. R. et al. (2011)"	indirect competition	AS vs Neutral/Control	cooperation (tit-for-tat)	Blank	-1.00E-02	1.30E-01	-1.00E-02	1.30E-01	behavior	prosocial/positive	experimental	antisocial	3	"Ewoldsen, D. R., Eno, C. A., Okdie, B. M., Velez, J. A., Guadagno, R. E., & DeCoster, J. (2012). Effect of playing violent video games cooperatively or competitively on subsequent cooperative behavior. Cyberpsychology, Behavior, And Social Networking, 15(5), 277-280. doi:10.1089/cyber.2011.0308"
228	"Espinosa, P, & Clemente, M. (2013)"	Blank	Blank	aggressive behavior	Blank	0.225	3.71E-02	0.228916547	3.90E-02	behavior	antisocial/negative	correlational	antisocial	3	"Espinosa, E., & Clemente, M. (2013): Self-transcendence and self-oriented perspective as mediators between video game playing and aggressive behaviour in teenagers. Journal of Community and Applied Social Psychology, 23(1), 68-80."
229	"Engelhardt, C. R., Bartholow, B. D., Kerr, G. T., & Bushman, B. J. (2011). "	Blank	AS vs Neutral/Control	aggressive	Blank	0.330350425	1.08E-01	0.343221555	1.22E-01	affect	antisocial/negative	experimental	antisocial	2	"Engelhardt, C. R., Bartholow, B. D., Kerr, G. T., & Bushman, B. J. (2011). This is your brain on violent video games: Neural desensitization to violence predicts increased aggression following violent video game exposure. Journal Of Experimental Social Psychology, 47(5), 1033-1036.                                                                                                                                                                                                                                                                                                                              "
230	"Engelhardt, C. R., Bartholow, B. D., Kerr, G. T., & Bushman, B. J. (2011). "	Blank	AS vs Neutral/Control	smaller P3 amplitudes to violent images	Blank	0.39114064	9.73E-02	0.413145995	1.15E-01	cognition	antisocial/negative	experimental	antisocial	2	"Engelhardt, C. R., Bartholow, B. D., Kerr, G. T., & Bushman, B. J. (2011). This is your brain on violent video games: Neural desensitization to violence predicts increased aggression following violent video game exposure. Journal Of Experimental Social Psychology, 47(5), 1033-1036.                                                                                                                                                                                                                                                                                                                              "
231	"Engelhardt, C. R., Bartholow, B. D., & Saults, S. (2011)."	high trait anger	AS vs Neutral/Control	aggression	Blank	0.2323805	0.162438956	0.236704388	1.72E-01	behavior	antisocial/negative	experimental	antisocial	2	"Engelhardt, C. R., Bartholow, B. D., & Saults, J. (2011). Violent and nonviolent video games differentially affect physical aggression for individuals high vs. low in dispositional anger. Aggressive Behavior, 37(6), 539-546. doi:10.1002/ab.20411"
232	"Engelhardt, C. R., Bartholow, B. D., & Saults, S. (2011)."	low trait anger	AS vs Neutral/Control	aggression	Blank	-0.169737378	0.165353562	-0.171396238	1.70E-01	behavior	antisocial/negative	experimental	antisocial	2	"Engelhardt, C. R., Bartholow, B. D., & Saults, J. (2011). Violent and nonviolent video games differentially affect physical aggression for individuals high vs. low in dispositional anger. Aggressive Behavior, 37(6), 539-546. doi:10.1002/ab.20411"
233	"DeLisi M., Vaughn, M.G., Gentile, D.A., Anderson, C.A., & Shook, J.J. (2013)"	Blank	Blank	total delinquency: violent video game attitude                                  	Blank	0.1805	6.46E-02	0.182499479	6.68E-02	behavior	antisocial/negative	correlational	antisocial	2	"DeLisi M., Vaughn, M.G., Gentile, D.A., Anderson, C.A., & Shook, J.J. (2013): Violent Video Games, Delinquency, and Youth Violence: New Evidence. Youth Violence and Juvenile Justive, 11(2), 132-142."
234	"DeLisi M., Vaughn, M.G., Gentile, D.A., Anderson, C.A., & Shook, J.J. (2013)"	Blank	Blank	total delinquency: violent video game play                                      	Blank	0.1327	6.56E-02	0.133487252	6.68E-02	behavior	antisocial/negative	correlational	antisocial	2	"DeLisi M., Vaughn, M.G., Gentile, D.A., Anderson, C.A., & Shook, J.J. (2013): Violent Video Games, Delinquency, and Youth Violence: New Evidence. Youth Violence and Juvenile Justive, 11(2), 132-142."
235	"DeLisi M., Vaughn, M.G., Gentile, D.A., Anderson, C.A., & Shook, J.J. (2013)"	Blank	Blank	total violence: violent video game attitude                                     	Blank	0.1805	6.46E-02	0.182499479	6.68E-02	behavior	antisocial/negative	correlational	antisocial	2	"DeLisi M., Vaughn, M.G., Gentile, D.A., Anderson, C.A., & Shook, J.J. (2013): Violent Video Games, Delinquency, and Youth Violence: New Evidence. Youth Violence and Juvenile Justive, 11(2), 132-142."
236	"DeLisi M., Vaughn, M.G., Gentile, D.A., Anderson, C.A., & Shook, J.J. (2013)"	Blank	Blank	total violence: violent video game play                                         	Blank	0.1527	6.53E-02	1.54E-01	6.68E-02	behavior	antisocial/negative	correlational	antisocial	2	"DeLisi M., Vaughn, M.G., Gentile, D.A., Anderson, C.A., & Shook, J.J. (2013): Violent Video Games, Delinquency, and Youth Violence: New Evidence. Youth Violence and Juvenile Justive, 11(2), 132-142."
237	"Chittaro, L., & Sioni, R. (2012)"	Blank	Blank	trait aggression	Blank	0.403	1.34E-01	4.27E-01	1.60E-01	cognition	antisocial/negative	correlational	antisocial	2	"Chittaro, L., & Sioni, R. (2012). Killing non-human animals in video games: A study on user experience and desensitization to violence aspects. Psychnology Journal, 10(3), 215-243.                                                                                                                                                                                                                                                                                                                                                                                                                                    "
238	"Charles, E. P., Baker, C. M., Hartman, K., Easton, B. P., & Kreuzberger, C. (2013)."	Button Pressing	AS vs Neutral/Control	CRTT	Blank	6.57E-02	1.10E-01	6.58E-02	1.10E-01	behavior	antisocial/negative	experimental	antisocial	3	"Charles, E. P., Baker, C. M., Hartman, K., Easton, B. P., & Kreuzberger, C. (2013). Motion capture controls negate the violent video-game effect. Computers in Human Behavior, 29(6), 2519-2523. doi: http://dx.doi.org/10.1016/j.chb.2013.05.028"
239	"Charles, E. P., Baker, C. M., Hartman, K., Easton, B. P., & Kreuzberger, C. (2013)."	Motion Capture	AS vs Neutral/Control	CRTT	Blank	1.47E-02	1.10E-01	1.47E-02	1.10E-01	behavior	antisocial/negative	experimental	antisocial	3	"Charles, E. P., Baker, C. M., Hartman, K., Easton, B. P., & Kreuzberger, C. (2013). Motion capture controls negate the violent video-game effect. Computers in Human Behavior, 29(6), 2519-2523. doi: http://dx.doi.org/10.1016/j.chb.2013.05.028"
240	"Bushman, B. J., Anderson, C. A. (2009)"	Blank	AS vs Neutral/Control	help	Blank	5.82E-02	0.072916748	5.82E-02	7.32E-02	behavior	prosocial/positive	experimental	antisocial	2	"Bushman, B. J., & Anderson, C. A. (2009). Comfortably numb: Desensitizing effects of violent media on helping others. Psychological Science,  20, 273-277."
241	"Bushman, B. J., & Gibson, B. (2011)."	No Rumination	AS vs Neutral/Control	aggressive	Blank	-0.320013294	1.50E-01	-0.33166192	1.67E-01	affect	antisocial/negative	experimental	antisocial	2	"Bushman, B. J., & Gibson, B. (2011). Violent video games cause an increase in aggression long after the game has been turned off. Social Psychological And Personality Science, 2(1), 29-32.                                                                                                                                                                                                                                                                                                                                                                                                                            "
242	"Bushman, B. J., & Gibson, B. (2011)."	Rumination	AS vs Neutral/Control	aggressive	Blank	0.368305807	1.41E-01	0.386461605	1.63E-01	affect	antisocial/negative	experimental	antisocial	2	"Bushman, B. J., & Gibson, B. (2011). Violent video games cause an increase in aggression long after the game has been turned off. Social Psychological And Personality Science, 2(1), 29-32.                                                                                                                                                                                                                                                                                                                                                                                                                            "
243	"Bushman, B. J., & Gibson, B. (2011)."	Women	AS vs Neutral/Control	aggressive	Blank	0	0.122474487	0	1.22E-01	affect	antisocial/negative	experimental	antisocial	2	"Bushman, B. J., & Gibson, B. (2011). Violent video games cause an increase in aggression long after the game has been turned off. Social Psychological And Personality Science, 2(1), 29-32.                                                                                                                                                                                                                                                                                                                                                                                                                            "
244	"Bowen, H. J., & Spaniol, J. (2011)"	Blank	Blank	trait aggression	Blank	-0.01	9.17E-02	-1.00E-02	9.17E-02	cognition	antisocial/negative	correlational	antisocial	3	"Bowen, H. J., & Spaniol, J. (2011). Chronic exposure to violent video games is not associated with alterations of emotional memory. Applied Cognitive Psychology, 25(6), 906-916. doi:10.1002/acp.1767"
245	"Bösche, W. (2010)."	Blank	AS vs Neutral/Control	LDT: aggressive words	Blank	0.4998	1.53E-01	0.549039513	2.04E-01	cognition	antisocial/negative	experimental	antisocial	3	"Bösche, W. (2010). Violent video games prime both aggressive and positive cognitions. Journal Of Media Psychology: Theories, Methods, And Applications, 22(4), 139-146. doi:10.1027/1864-1105/a000019"
246	"Bösche, W. (2010)."	Blank	AS vs Neutral/Control	LDT: positive words	Blank	-0.3725	1.76E-01	-0.391322751	2.04E-01	cognition	prosocial/positive	experimental	antisocial	3	"Bösche, W. (2010). Violent video games prime both aggressive and positive cognitions. Journal Of Media Psychology: Theories, Methods, And Applications, 22(4), 139-146. doi:10.1027/1864-1105/a000019"
247	"Bluemke, M., Friedrich, M., & Zumbach, J. (2010). "	Blank	AS vs Neutral/Control	aggr self-concept	Blank	0.295307306	1.33E-01	0.304370718	1.46E-01	cognition	antisocial/negative	experimental	antisocial	3	"Bluemke, M., Friedrich, M., & Zumbach, J. (2010). The influence of violent and nonviolent computer games on implicit measures of aggressiveness. Aggressive Behavior, 36(1), 1-13.                                                                                                                                                                                                                                                                                                                                                                                                                                      "
248	"Bluemke, M., Friedrich, M., & Zumbach, J. (2010). "	Blank	AS vs Neutral/Control	aggr self-concept (abstract as control)	Blank	0.157908385	1.43E-01	0.159240863	0.146519955	cognition	antisocial/negative	experimental	antisocial	3	"Bluemke, M., Friedrich, M., & Zumbach, J. (2010). The influence of violent and nonviolent computer games on implicit measures of aggressiveness. Aggressive Behavior, 36(1), 1-13.                                                                                                                                                                                                                                                                                                                                                                                                                                      "
249	"Bluemke, M., Friedrich, M., & Zumbach, J. (2010). "	Blank	AS vs Neutral/Control	IAT (lower=more aggr)	Blank	3.91E-02	1.16E-01	3.91E-02	0.116184458	cognition	antisocial/negative	experimental	antisocial	3	"Bluemke, M., Friedrich, M., & Zumbach, J. (2010). The influence of violent and nonviolent computer games on implicit measures of aggressiveness. Aggressive Behavior, 36(1), 1-13.                                                                                                                                                                                                                                                                                                                                                                                                                                      "
250	"Bluemke, M. & Zumbach, J. (2012)."	Blank	AS vs Neutral/Control	BPAQ	Blank	0.373246801	1.07E-01	0.392190151	0.12452198	cognition	antisocial/negative	correlational	antisocial	3	"Bluemke, M. & Zumbach, J. (2012). Assessing Aggressiveness via Reaction Times Online. Cyberpsychology: Journal of Psychosocial Research on Cyberspace, 6(1), article 5.                                                                                                                                                                                                                                                                                                                                                                                                                                                 "
251	"Barlett, C. P., & Rodeheffer, C. (2009)"	45 min (T4)	AS vs Neutral/Control	hostile feelings	Blank	0.38708836	1.17E-01	0.408370671	0.137401638	affect	antisocial/negative	experimental	antisocial	3	"Barlett, C. P., & Rodeheffer, C. (2009). Effects of realism on extended violent and nonviolent video game play on aggressive thoughts, feelings, and physiological arousal. Aggressive Behavior, 35(3), 213-224. doi:10.1002/ab.20279"
252	"Ballard, M., Visser, K., & Jocoy, K. (2012)."	Blank	Blank	diastolic blood pressure	Blank	0.117755051	7.49E-02	0.118303898	7.60E-02	arousal	Blank	experimental	antisocial	3	"Ballard, M., Visser, K., & Jocoy, K. (2012). Social Context and Video Game Play: Impact on Cardiovascular and Affective Responses. Mass Communication and Society, 15(6), 875-898. doi: 10.1080/15205436.2011.632106"
